Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_alpha[1]	extinction_alpha[2]	extinction_beta[1]	net_diversification[1]	net_diversification[2]	net_diversification[3]	net_diversification[4]	q[1][2]	q[1][3]	q[2][1]	q[2][4]	q[3][1]	q[3][4]	q[4][2]	q[4][3]	q_0A0B	q_0A1A	q_0B0A	q_0B1B	q_1A0A	q_1A1B	q_1B0B	q_1B1A	root_frequencies[1]	root_frequencies[2]	root_frequencies[3]	root_frequencies[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_alpha[1]	speciation_alpha[2]	speciation_beta[1]
0	-933.3951	-957.1095	23.71435	0.2463085	0.1882139	0.1865316	0.142536	-1.40117	-1.670176	-0.2779842	0.000579076	0.250977	1.87127	3.51811	0.007500448	0.01348999	0.0004328447	0.01091623	0.003141616	0.0008832415	0.002711848	0.008930128	0.01348999	0.007500448	0.003141616	0.0008832415	0.0004328447	0.01091623	0.008930128	0.002711848	0.388916	0.249684	0.157938	0.203463	0.2468876	0.4391905	2.057806	3.66065	-1.398822	-0.8228219	2.120463
10	-896.7402	-917.7849	21.04466	0.03912243	0.05407364	0.06829139	0.09438995	-3.241059	-2.917408	0.5570878	0.123852	0.2382	0.295197	0.557481	0.01486982	0.01071796	0.003492404	0.03307626	0.00611681	4.062887e-05	0.01336775	0.009000596	0.01071796	0.01486982	0.00611681	4.062887e-05	0.003492404	0.03307626	0.009000596	0.01336775	0.388916	0.249684	0.157938	0.203463	0.162974	0.2922738	0.363488	0.6518708	-1.814164	-1.230064	0.8021554
20	-889.4832	-912.8171	23.33384	0.01677365	0.07137222	0.01862493	0.07924944	-4.087946	-2.639847	0.1046916	0.187917	0.19916	0.678959	0.842721	0.02181672	0.001121166	0.005958179	0.006372555	0.003517216	0.005421008	0.003449015	0.003901077	0.001121166	0.02181672	0.003517216	0.005421008	0.005958179	0.006372555	0.003901077	0.003449015	0.388916	0.157938	0.249684	0.203463	0.2046909	0.2705322	0.697584	0.9219702	-1.586254	-1.307364	1.226122
30	-894.8503	-919.746	24.89573	0.03350955	0.09184791	0.09190902	0.2519178	-3.395925	-2.387621	1.008969	0.172272	0.256294	0.590557	0.902682	0.0135875	7.726101e-05	0.0004227131	0.02686263	0.002045312	0.001225756	3.497221e-05	0.04439369	7.726101e-05	0.0135875	0.002045312	0.001225756	0.0004227131	0.02686263	0.04439369	3.497221e-05	0.388916	0.157938	0.249684	0.203463	0.2057811	0.3481415	0.6824663	1.1546	-1.580942	-1.055146	1.1989
40	-895.4726	-914.872	19.39944	0.1322345	0.09960912	0.2001025	0.1507324	-2.023178	-2.306502	0.4142525	0.15556	0.168294	0.728367	0.713564	0.0276391	0.005979145	0.007880239	0.006728232	0.01488708	0.001769949	0.01698009	0.00673371	0.005979145	0.0276391	0.01488708	0.001769949	0.007880239	0.006728232	0.00673371	0.01698009	0.388916	0.157938	0.249684	0.203463	0.2877942	0.2679027	0.9284696	0.8642966	-1.24551	-1.317131	1.171292
50	-889.533	-914.7178	25.18481	0.03133737	0.04066757	0.1676046	0.2175062	-3.462944	-3.202324	1.676797	0.152359	0.191227	0.698384	0.875703	0.03393714	0.006195558	0.000224439	0.003599943	0.008248251	0.0005044315	0.004064982	9.735724e-05	0.006195558	0.03393714	0.008248251	0.0005044315	0.000224439	0.003599943	9.735724e-05	0.004064982	0.388916	0.157938	0.203463	0.249684	0.1836963	0.231895	0.8659888	1.093209	-1.694472	-1.461471	1.550588
60	-894.1729	-916.7431	22.57025	0.06626198	0.1001715	0.05435374	0.08216922	-2.714139	-2.300872	-0.1981029	0.144214	0.280824	0.612111	1.12424	0.0313162	0.0008557232	0.003422959	0.001122611	0.02135241	0.0079949	0.002706397	0.006690937	0.0008557232	0.0313162	0.02135241	0.0079949	0.003422959	0.001122611	0.006690937	0.002706397	0.388916	0.157938	0.203463	0.249684	0.2104762	0.3809951	0.6664648	1.206407	-1.558383	-0.9649687	1.152615
70	-882.2094	-915.063	32.85363	0.1192974	0.1053118	0.04562459	0.04027589	-2.126136	-2.25083	-0.9611725	0.148852	0.240017	0.517639	0.685107	0.01459666	0.0006045007	7.619945e-05	0.02534097	0.01392221	0.001345722	0.001519661	1.522079e-08	0.0006045007	0.01459666	0.01392221	0.001345722	7.619945e-05	0.02534097	1.522079e-08	0.001519661	0.388916	0.249684	0.203463	0.157938	0.2681498	0.3453287	0.563264	0.7253828	-1.316209	-1.063258	0.7422026
80	-889.9664	-915.0896	25.12323	0.01748928	0.03738604	0.02976418	0.06362554	-4.046167	-3.286458	0.5317175	0.19192	0.173206	0.819877	0.790814	0.01193611	0.0003121399	0.02170638	0.006839881	0.006845197	6.138073e-05	0.006932458	0.0006924512	0.0003121399	0.01193611	0.006845197	6.138073e-05	0.02170638	0.006839881	0.0006924512	0.006932458	0.388916	0.249684	0.203463	0.157938	0.2094094	0.2105921	0.8496411	0.8544398	-1.563464	-1.557832	1.400523
90	-885.8465	-915.4928	29.64621	0.1341155	0.07022742	0.1055827	0.05528667	-2.009054	-2.656016	-0.2392071	0.148926	0.197109	0.578972	0.591284	0.01191038	0.002481441	0.009692489	0.01011332	1.240562e-05	0.00104396	0.001470061	0.003399715	0.002481441	0.01191038	1.240562e-05	0.00104396	0.009692489	0.01011332	0.003399715	0.001470061	0.388916	0.249684	0.203463	0.157938	0.2830419	0.2673368	0.6845548	0.6465709	-1.26216	-1.319246	0.8831737
100	-873.5309	-912.9158	39.38491	0.03374355	0.13469	0.03696204	0.1475368	-3.388966	-2.004779	0.09110203	0.164865	0.13538	0.540593	0.637829	0.01858776	0.0003387022	7.290798e-07	0.01132655	0.001062406	9.724096e-06	0.00928154	4.734351e-08	0.0003387022	0.01858776	0.001062406	9.724096e-06	7.290798e-07	0.01132655	4.734351e-08	0.00928154	0.388916	0.203463	0.249684	0.157938	0.1986084	0.2700698	0.5775553	0.7853657	-1.61642	-1.309075	1.067469
110	-887.7341	-915.5677	27.83356	0.008346766	0.07381034	0.004895968	0.04329499	-4.785881	-2.606256	-0.5334621	0.191628	0.146472	0.550862	0.5689	0.01805922	0.0001732955	0.0002262724	0.003509275	0.004339223	0.006738008	0.0003789584	0.001415301	0.0001732955	0.01805922	0.004339223	0.006738008	0.0002262724	0.003509275	0.001415301	0.0003789584	0.388916	0.203463	0.249684	0.157938	0.1999751	0.2202826	0.555758	0.6121954	-1.609563	-1.512844	1.02214
120	-895.6213	-917.8734	22.25214	0.06541612	0.06188959	0.003734277	0.003532965	-2.726987	-2.782403	-2.863215	0.106219	0.216572	0.293285	0.478353	0.01895653	0.003358157	0.003154468	0.004984564	0.001078385	0.005327201	0.009530534	0.001581251	0.003358157	0.01895653	0.001078385	0.005327201	0.003154468	0.004984564	0.001581251	0.009530534	0.388916	0.203463	0.249684	0.157938	0.1716352	0.2784614	0.2970198	0.4818856	-1.762384	-1.278476	0.5484276
130	-889.7407	-912.6818	22.9411	0.04890453	0.09368453	0.01690194	0.03237839	-3.017885	-2.367822	-1.062442	0.159144	0.115952	0.626104	0.615534	0.02510609	0.00162055	0.0003266803	0.01905979	0.004721161	0.03315928	0.000977703	0.0005591681	0.00162055	0.02510609	0.004721161	0.03315928	0.0003266803	0.01905979	0.0005591681	0.000977703	0.388916	0.203463	0.249684	0.157938	0.2080484	0.2096361	0.6430057	0.6479128	-1.569984	-1.562382	1.128383
140	-883.2032	-913.1329	29.9297	0.1127646	0.01611568	0.02338989	0.003342751	-2.182453	-4.127963	-1.572998	0.141606	0.245639	0.73994	0.782144	0.02314408	6.705137e-07	3.69022e-06	0.02565224	0.001047015	0.0002415338	0.009287543	0.00217193	6.705137e-07	0.02314408	0.001047015	0.0002415338	3.69022e-06	0.02565224	0.00217193	0.009287543	0.249684	0.203463	0.388916	0.157938	0.2543709	0.2617546	0.7633299	0.7854871	-1.368962	-1.340348	1.098897
150	-886.106	-915.3622	29.25628	0.07469823	0.02126817	0.3046569	0.08674228	-2.594299	-3.850544	1.40573	0.202756	0.192295	0.826209	0.783714	0.01257798	4.860049e-05	0.00039395	0.005544317	0.0006293228	0.006287194	0.0003804324	0.004999962	4.860049e-05	0.01257798	0.0006293228	0.006287194	0.00039395	0.005544317	0.004999962	0.0003804324	0.249684	0.203463	0.388916	0.157938	0.2774541	0.2135633	1.130866	0.8704559	-1.2821	-1.543822	1.405084
160	-890.4161	-915.8376	25.42145	0.09038071	0.04655893	0.05916502	0.03047841	-2.403724	-3.067037	-0.4237003	0.175231	0.184186	0.627091	0.565693	0.033125	0.001133953	0.004254725	0.004444197	0.002040437	0.001746929	0.0005825909	0.01330501	0.001133953	0.033125	0.002040437	0.001746929	0.004254725	0.004444197	0.01330501	0.0005825909	0.249684	0.203463	0.388916	0.157938	0.2656116	0.2307447	0.6862559	0.596171	-1.32572	-1.466443	0.9492157
170	-887.8646	-915.3358	27.47124	0.1061802	0.06201933	0.08182889	0.04779587	-2.242618	-2.780309	-0.2605069	0.119352	0.273257	0.494486	0.808953	0.01945232	0.0009707402	0.0005730845	0.009741397	0.001147223	0.01206008	0.0005685663	0.003579107	0.0009707402	0.01945232	0.001147223	0.01206008	0.0005730845	0.009741397	0.003579107	0.0005685663	0.249684	0.203463	0.388916	0.157938	0.2255325	0.3352765	0.5763148	0.8567491	-1.489291	-1.0928	0.9381896
180	-885.4679	-912.5131	27.04526	0.05211137	0.07055546	0.09816475	0.1329088	-2.954372	-2.651356	0.633264	0.178444	0.177017	0.566417	0.580724	0.01679093	0.000648656	0.0001876868	0.01026963	0.0195961	0.002700665	0.001059108	0.001734777	0.000648656	0.01679093	0.0195961	0.002700665	0.0001876868	0.01026963	0.001734777	0.001059108	0.249684	0.203463	0.388916	0.157938	0.2305557	0.2475721	0.6645821	0.7136323	-1.467263	-1.396054	1.058666
